时间,循环次数,电压(11.76-12.24),电流(70.00-130.00),帧率(28.00-32.00),错误帧(<=0),图像采集,测试结果
17:08:39.618,1,12.06,92.04,30.00,0,True,PASS
17:08:40.611,1,12.06,92.29,30.00,0,True,PASS
17:08:41.602,1,12.06,92.42,30.00,0,True,PASS
17:08:42.603,1,12.06,92.29,30.00,0,True,PASS
17:08:43.604,1,12.06,92.29,30.00,0,True,PASS
17:08:44.613,1,12.06,92.29,30.00,0,True,PASS
17:08:45.609,1,12.06,92.42,30.00,0,True,PASS
17:08:46.600,1,12.06,92.42,30.00,0,True,PASS
17:08:47.611,1,12.06,92.29,30.00,0,True,PASS
17:08:48.600,1,12.06,92.16,30.00,0,True,PASS
17:08:49.617,1,12.06,92.16,30.00,0,True,PASS
17:08:50.611,1,12.06,92.29,30.00,0,True,PASS
17:08:51.615,1,12.06,92.42,30.00,0,True,PASS
17:08:52.604,1,12.06,92.54,30.00,0,True,PASS
17:08:53.602,1,12.06,92.04,30.00,0,True,PASS
17:08:54.608,1,12.06,92.54,30.00,0,True,PASS
17:08:55.608,1,12.06,92.42,30.00,0,True,PASS
17:08:56.617,1,12.06,92.42,30.00,0,True,PASS
17:08:57.609,1,12.06,92.29,30.00,0,True,PASS
17:08:58.608,1,12.06,92.42,30.00,0,True,PASS
17:08:59.600,1,12.06,92.29,30.00,0,True,PASS
17:09:00.600,1,12.06,92.29,30.00,0,True,PASS
17:09:01.600,1,12.06,92.16,30.00,0,True,PASS
17:09:02.610,1,12.06,92.42,30.00,0,True,PASS
17:09:03.615,1,12.06,92.16,30.00,0,True,PASS
17:09:04.610,1,12.06,92.42,30.00,0,True,PASS
17:09:05.610,1,12.06,92.54,30.00,0,True,PASS
17:09:06.616,1,12.06,92.29,30.00,0,True,PASS
17:09:07.602,1,12.06,92.54,30.00,0,True,PASS
17:09:08.604,1,12.06,92.29,30.00,0,True,PASS
17:09:09.602,1,12.06,92.42,30.00,0,True,PASS
17:09:10.598,1,12.06,92.29,30.00,0,True,PASS
17:09:11.602,1,12.06,92.29,30.00,0,True,PASS
17:09:12.612,1,12.06,92.54,30.00,0,True,PASS
17:09:13.619,1,12.06,92.42,30.00,0,True,PASS
17:09:14.607,1,12.06,92.42,30.00,0,True,PASS
17:09:15.604,1,12.06,92.54,30.00,0,True,PASS
17:09:16.608,1,12.06,92.16,30.00,0,True,PASS
17:09:17.617,1,12.06,92.54,30.00,0,True,PASS
17:09:18.612,1,12.06,92.42,30.00,0,True,PASS
17:09:19.602,1,12.06,92.29,30.00,0,True,PASS
17:09:20.602,1,12.06,92.29,30.00,0,True,PASS
17:09:21.607,1,12.06,92.42,30.00,0,True,PASS
